STATE,COUNTY,SUMLEV,REGION,DIVISION,STNAME,CTYNAME,POPESTIMATE1980,POPESTIMATE1981,POPESTIMATE1982,POPESTIMATE1983,POPESTIMATE1984,POPESTIMATE1985,POPESTIMATE1986,POPESTIMATE1987,POPESTIMATE1988,POPESTIMATE1989,POPESTIMATE1990,POPESTIMATE1991,POPESTIMATE1992,POPESTIMATE1993,POPESTIMATE1994,POPESTIMATE1995,POPESTIMATE1996,POPESTIMATE1997,POPESTIMATE1998,POPESTIMATE1999,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025
1,0,40,3,6,Alabama,Alabama,3894025,3918533,3925263,3934100,3951824,3972520,3991569,4015262,4023842,4030219,4048526,4091397,4139880,4193639,4233214,4263125,4290678,4320692,4350594,4369224,4451497,4463343,4471462,4489876,4510588,4542912,4594911,4634063,4673889,4707496,4785514,4799642,4816632,4831586,4843737,4854803,4866824,4877989,4891628,4907965,5032962,5050058,5076868,5117850,5163055,5193088
1,1,50,3,6,Alabama,Autauga County,32259,31985,32036,32054,32134,32245,32893,33268,33636,33996,34354,35016,35995,36969,38208,39140,40241,41280,42156,43021,43952,44509,45207,45762,46948,47875,49118,49835,50338,50816,54761,55229,54970,54747,54922,54903,55302,55448,55533,55769,58914,59207,59755,60502,61476,61920
1,3,50,3,6,Alabama,Baldwin County,78556,80287,82331,83978,86752,89401,91311,93214,94649,96198,98918,102228,106234,110872,115823,119947,124243,128760,132798,135671,141384,145017,148177,151798,156640,162623,168572,172851,176268,179831,183121,186579,190203,194978,199306,203101,207787,212737,218071,223565,233252,239450,246703,254193,261652,267761
1,5,50,3,6,Alabama,Barbour County,24756,24748,24777,24798,24952,25002,24941,25102,25230,25336,25452,26229,26437,26634,26779,26654,26853,26739,26914,26713,29039,29221,29285,29501,29462,29466,29564,29736,29866,29796,27325,27344,27172,26946,26768,26300,25828,25169,24887,24657,24958,24510,24744,24681,24520,24607
1,7,50,3,6,Alabama,Bibb County,15723,15836,16020,15999,16089,16157,15918,16165,16136,16360,16674,16955,17191,17445,17640,17985,18253,18638,18980,19551,19881,20866,20906,20975,21133,21304,21211,21410,21530,21576,22858,22736,22657,22510,22541,22553,22590,22532,22300,22313,22181,22346,21976,21881,22225,22262
1,9,50,3,6,Alabama,Blount County,36459,36641,36355,36428,36790,37417,37995,38017,38250,38771,39409,39864,40228,40990,41360,42581,43538,44889,46276,47308,51141,51961,52753,53739,54471,55041,55983,56863,57797,58197,57372,57561,57585,57630,57536,57535,57487,57801,57770,57840,59099,59036,59450,59771,60173,60156
1,11,50,3,6,Alabama,Bullock County,10596,10679,10639,10686,10824,10777,10459,10891,11184,11170,11022,11136,11031,11083,11190,11208,11305,11312,11300,11354,11585,11353,11241,11287,11011,10952,10710,10940,10878,10913,10876,10680,10610,10557,10668,10404,10397,10181,10165,10144,10239,10128,10135,9898,9863,9780
1,13,50,3,6,Alabama,Butler County,21680,22186,22399,22384,22443,22427,22340,22405,22207,22035,21884,21743,21772,21781,21809,21772,21802,21769,21639,21517,21275,20997,20570,20507,20448,20310,20204,20206,20176,20013,20933,20867,20672,20359,20332,20168,20040,19911,19675,19501,19022,18856,18652,18372,18276,18100
1,15,50,3,6,Alabama,Calhoun County,119761,120814,122109,121249,121739,118644,117700,118092,117260,116381,116114,115226,115764,116268,116089,116701,116580,117135,117046,114767,110986,110671,110532,111088,111300,111760,112127,112484,113060,113646,118420,117767,117227,116528,115991,115550,115036,114746,114298,114070,116238,115640,115738,116341,116303,115834
1,17,50,3,6,Alabama,Chambers County,39191,39382,39336,39258,39073,38614,37982,37753,37385,37208,36882,36903,37026,36998,37030,37135,36856,36640,36742,36455,36552,36242,35921,35618,35373,35163,34811,34718,34439,34258,34105,34016,34088,34125,33964,33991,33742,33716,33570,33244,34581,34420,34199,34363,34309,34253
1,19,50,3,6,Alabama,Cherokee County,18760,19310,19525,19136,18989,18890,18985,19229,19517,19467,19603,19675,19814,20171,20492,20955,21276,21598,21835,21894,23963,23987,24058,24086,24213,24191,24454,24396,24332,24391,25968,25993,25961,26022,25900,25739,25769,25822,26035,26254,24978,25056,25318,25650,26088,26413
1,21,50,3,6,Alabama,Chilton County,30612,30702,30361,30734,31080,31560,31924,31994,32310,32365,32520,33046,33223,33662,34193,34849,35628,36310,36920,37550,39892,40140,40576,40913,41297,41640,41946,42471,42789,42988,43645,43682,43572,43617,43751,43693,43854,44085,44084,44313,45053,45262,45868,46554,47364,47708
1,23,50,3,6,Alabama,Choctaw County,16839,16672,16367,16594,16618,16710,16727,16557,16477,16166,15984,15996,16118,16101,16049,15991,15989,15882,15834,15581,15879,15680,15371,15201,14925,14537,14420,14214,14116,13983,13848,13608,13565,13401,13322,13237,13049,12923,12810,12577,12623,12543,12419,12264,12090,11904
1,25,50,3,6,Alabama,Clarke County,27702,28128,27946,27864,27637,27419,27363,27527,27271,27164,27312,27504,27727,27828,28036,27935,28076,28611,28524,28787,27797,27601,27248,27067,26930,26728,26715,26416,26277,26044,25767,25589,25161,25131,24873,24711,24342,24083,23965,23651,22982,22732,22541,22336,22127,22014
